Шифр расценки и коды ресурсов,Наименование работ и затрат,Ед. изм.,Unnamed: 3,Наименование СПГЗ,ID,КПГЗ,Единицы измерения
5.4-3103-6-3/1,"Посадка деревьев и кустарников с комом земли, диаметром 0,5 м и высотой 0,4 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках компенсационного озеленения,97080516.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Штука
5.4-3103-6-4/1,"Посадка деревьев и кустарников с комом земли, диаметром 0,8 м и высотой 0,6 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках компенсационного озеленения,97080516.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Штука
5.4-3103-6-5/1,"Посадка деревьев и кустарников с комом земли размером 0,5х0,5х0,4 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках компенсационного озеленения,97080516.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Штука
5.4-3103-6-6/1,"Посадка деревьев и кустарников с комом земли размером 0,8х0,8х0,5 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках компенсационного озеленения,97080516.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Штука
5.4-3103-6-7/1,"Посадка деревьев и кустарников с комом земли размером 1,0х1,0х0,6 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках компенсационного озеленения,97080516.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Штука
5.4-3103-6-8/1,"Посадка деревьев и кустарников с комом земли размером 1,3х1,3х0,6 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках компенсационного озеленения,97080516.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Штука
5.4-3103-6-9/1,"Посадка деревьев и кустарников с комом земли размером 1,5х1,5х0,65 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках компенсационного озеленения,97080516.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Штука
5.4-3103-6-10/1,"Посадка деревьев и кустарников с комом земли размером 1,7х1,7х0,65 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках компенсационного озеленения,97080516.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Штука
5.4-3203-8-1/1,"Посадка многолетних цветников при густоте посадки 1,6 тыс.шт. цветов",100 м2,1,Устройство цветника в рамках ремонтно-восстановительных работ на объектах благоустройства,91741109.0,02.06.05.05 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Квадратный метр
5.4-3203-10-1/1,Устройство альпинариев и рокариев,100 м2,1,Устройство цветника в рамках ремонтно-восстановительных работ на объектах благоустройства,91741109.0,02.06.05.05 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Квадратный метр
5.4-3203-20-1/1,"Посадка однолетних цветников из однолетних цветочных культур - летники, виолы при густоте посадки 6 тыс. шт. (без стоимости посадочного материала)",100 м2,1,Устройство цветника в рамках ремонтно-восстановительных работ на объектах благоустройства,91741109.0,02.06.05.05 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Квадратный метр
5.4-3203-20-2/1,"Посадка однолетних цветников из однолетних цветочных культур - летники, виолы, добавлять или исключать на каждые 1000 шт. высаживаемых цветов к поз. 4-3203-20-1 (без стоимости посадочного материала)",100 м2,1,Устройство цветника в рамках ремонтно-восстановительных работ на объектах благоустройства,91741109.0,02.06.05.05 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Квадратный метр
5.4-3203-21-1/1,Посадка однолетних цветников из луковичных и клубнелуковичных растений - сплошная посадка при густоте 6 тыс. шт. (без стоимости посадочного материала),100 м2,1,Устройство цветника в рамках ремонтно-восстановительных работ на объектах благоустройства,91741109.0,02.06.05.05 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Квадратный метр
5.4-3203-21-2/1,"Посадка однолетних цветников из луковичных и клубнелуковичных растений - сплошная посадка, добавлять или исключать на каждые 1000 шт. высаживаемых цветов к поз. 4-3203-21-1 (без стоимости посадочного материала)",100 м2,1,Устройство цветника в рамках ремонтно-восстановительных работ на объектах благоустройства,91741109.0,02.06.05.05 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Квадратный метр
5.4-3203-21-3/1,Посадка однолетних цветников из луковичных и клубнелуковичных растений - групповая и одиночная посадка (без стоимости посадочного материала),100 шт.,1,Устройство цветника в рамках ремонтно-восстановительных работ на объектах благоустройства,91741109.0,02.06.05.05 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Квадратный метр
